Video title: Bestaat mijn baan straks nog？ ｜ ✨ Poki
Youtube video code: iVMNK7jyIdI
Last modified time: 2024-02-13 08:02:38

------------------ 

[0.00 --> 0.96]  Waar spaar jij voor?
[2896.10 --> 2897.72]  bij existentiële problemen?
[2897.72 --> 2899.66]  Nou, dat heeft ook mee te maken...
[2899.66 --> 2901.06]  dat ik de soort...
[2901.06 --> 2902.56]  eenzaam...
[2902.56 --> 2903.18]  niet waar ik ben...
[2903.18 --> 2903.56]  niet per se...
[2903.56 --> 2905.14]  Nou, ik ben op dat gebied...
[2905.14 --> 2905.88]  wel een beetje eenzaam...
[2905.88 --> 2907.14]  dat ik...
[2907.14 --> 2908.88]  Ik denk echt...
[2909.80 --> 2910.48]  Jongens, jongens...
[2910.48 --> 2911.52]  waarom hebben we het hier niet...
[2911.52 --> 2912.84]  allemaal de hele tijd over?
[2912.84 --> 2913.08]  Ja.
[2913.16 --> 2914.02]  En ik bedoel...
[2914.02 --> 2915.38]  Daarom kan ik ook met jou...
[2915.38 --> 2916.90]  zonder moeite deze podcast maken...
[2916.90 --> 2918.12]  want ik ben hier echt...
[2918.12 --> 2919.22]  heel veel mee bezig.
[2919.64 --> 2920.68]  Niet alleen omdat het...
[2920.68 --> 2921.72]  coole technologie is...
[2921.72 --> 2922.94]  en ik een gadget nerd ben.
[2923.36 --> 2924.70]  Nee man, dit is echt...
[2924.70 --> 2926.42]  Dit is het verhaal van onze tijd.
[2927.14 --> 2928.44]  Dit is het gewoon.
[2928.52 --> 2929.00]  Dan kan je zeggen...
[2929.00 --> 2929.90]  Ja, een bioloog zegt...
[2929.90 --> 2930.96]  dat biologie alles is.
[2931.30 --> 2932.26]  En een economisch...
[2932.26 --> 2932.74]  Nee, nee, nee.
[2933.22 --> 2933.84]  Dit is het.
[2934.16 --> 2935.90]  En daar sta ik volledig achter...
[2935.90 --> 2937.04]  en de tijd zal leren...
[2937.04 --> 2937.90]  dat dat gewoon klopt.
[2938.46 --> 2939.84]  Dit is zo ongelofelijk...
[2939.84 --> 2941.18]  de geschiedenis...
[2941.18 --> 2942.86]  History in the making.
[2943.38 --> 2944.44]  Dus dat ik hier met jou zit...
[2944.44 --> 2945.86]  wordt alleen maar logischer...
[2945.86 --> 2947.56]  en alleen maar meer mensen gaan denken...
[2947.56 --> 2948.76]  nou, misschien hebben die gasten...
[2948.76 --> 2950.06]  ook al is het allemaal ongeheim...
[2950.06 --> 2951.12]  wel een onderwerp...
[2951.12 --> 2952.70]  waar inderdaad meer aandacht naartoe mag.
[2953.32 --> 2956.84]  En mijn zorg is niet per se afgenomen...
[2956.84 --> 2958.50]  die ik een jaar geleden ook al had.
[2958.90 --> 2962.12]  Ik vind het wel interessant om te zien...
[2962.12 --> 2966.16]  dat bij mij er blijkbaar een soort van...
[2966.16 --> 2968.10]  als dit dan dat plaatsvindt in mijn hoofd.
[2968.10 --> 2970.16]  Dus ik zie Hey Jen...
[2970.16 --> 2971.94]  een voorbeeld van jouw video...
[2971.94 --> 2973.62]  en ik extrapoleer dan van die video...
[2973.62 --> 2973.96]  en denk...
[2973.96 --> 2976.22]  nou, daar gaat het hele medialandschap.
[2976.44 --> 2977.34]  Ik zie dat gewoon zo...
[2977.34 --> 2979.44]  met duizenden domino's...
[2979.44 --> 2980.54]  omgaan naar iets nieuws.
[2981.04 --> 2982.16]  Dat is op zich niet erg.
[2982.48 --> 2982.86]  Disruptie.
[2984.24 --> 2986.06]  Maar dat is dan op een bepaalde manier...
[2986.06 --> 2986.70]  voor mij al zo.
[2986.82 --> 2987.58]  Terwijl...
[2987.58 --> 2989.04]  dat moet dan nog wel gaan gebeuren.
[2989.16 --> 2990.12]  Kon je hem geruststellen?
[2992.16 --> 2992.60]  Nou...
[2993.64 --> 2994.60]  we hadden het erover...
[2995.52 --> 2995.60]  van...
[2996.24 --> 2997.34]  waarschijnlijk zit je in het...
[2997.34 --> 2999.08]  want dit gesprek heb ik op een andere manier...
[2999.08 --> 3000.52]  al vaker met vrienden gehad...
[3000.52 --> 3002.40]  meer filosofisch...
[3002.40 --> 3003.40]  filosofisch...
[3003.40 --> 3004.40]  als in...
[3004.40 --> 3005.88]  wat als...
[3005.88 --> 3006.94]  dus hypothetisch moet ik...
[3006.94 --> 3007.80]  dat is het juiste woord.
[3008.14 --> 3009.08]  Dit was een gesprek...
[3009.08 --> 3010.28]  waar het niet meer hypothetisch was...
[3010.28 --> 3011.50]  want hij voelt nu gewoon...
[3011.50 --> 3012.42]  oké, dit is gaande.
[3012.60 --> 3012.88]  Oké.
[3013.34 --> 3014.58]  En dat ik zei...
[3014.58 --> 3015.90]  ik heb zelf het idee...
[3015.90 --> 3016.30]  dat het...
[3016.30 --> 3018.58]  dat inderdaad het fysieke domein...
[3018.58 --> 3020.58]  dus buiten het virtuele...
[3020.58 --> 3023.40]  dat trommeltje wat ik al een tijdje sla...
[3023.40 --> 3024.60]  voelt veiliger.
[3024.60 --> 3026.62]  Dus als jij werk hebt...
[3026.62 --> 3027.16]  In de bouw.
[3027.66 --> 3027.96]  Ja.
[3028.20 --> 3029.22]  En waar je ook...
[3029.22 --> 3030.12]  een hand moet geven...
[3030.12 --> 3031.50]  en met mensen moet communiceren...
[3031.50 --> 3032.20]  en echt een soort...
[3032.20 --> 3033.46]  moet ruiken misschien wel.
[3033.62 --> 3034.54]  En een soort intuïtie.
[3034.62 --> 3036.24]  Dat kan zijn dat je het weer kan ruiken...
[3036.24 --> 3037.42]  of dat je denkt...
[3037.42 --> 3038.74]  er is een lekkage thuis te bouwen...
[3038.74 --> 3039.70]  want ik ruik nat beton.
[3039.90 --> 3040.00]  Ja.
[3040.12 --> 3041.10]  Het is heel naïef van mij.
[3041.18 --> 3042.56]  Ik ben zo'n binnenzittende jongen...
[3042.56 --> 3043.30]  ik heb geen idee.
[3043.64 --> 3043.98]  Maar goed.
[3045.08 --> 3046.72]  Dan zit je echt nog wel even goed...
[3046.72 --> 3047.70]  want er is in dat fysiek...
[3047.70 --> 3048.34]  is gewoon duur...
[3049.34 --> 3049.86]  moeilijk...
[3049.86 --> 3050.98]  het helemaal niet waard.
[3051.02 --> 3052.42]  En wat doet deze jongen dan ongeveer?
[3052.58 --> 3053.30]  Ik snap wel dat je niet...
[3053.30 --> 3053.54]  Software.
[3053.98 --> 3054.54]  Ja, precies.
[3054.72 --> 3055.04]  En die denkt...
[3055.04 --> 3055.48]  Nee, tuurlijk.
[3055.72 --> 3056.20]  Mijn bibbel.
[3057.14 --> 3059.20]  Nee, maar ik vind dit heel...
[3059.20 --> 3060.00]  dat is heel wezenlijk.
[3060.12 --> 3061.20]  Dus dit is dan iemand die...
[3061.20 --> 3062.38]  die programmeert...
[3062.38 --> 3063.94]  en die denkt opeens...
[3063.94 --> 3064.46]  holy shit.
[3065.62 --> 3065.80]  Ja.
[3066.26 --> 3067.12]  Echt holy shit.
[3067.34 --> 3067.86]  En kun je dan...
[3068.64 --> 3069.08]  zeg maar...
[3069.08 --> 3070.82]  wat was het moment dat dat triggerde dan?
[3071.94 --> 3073.86]  Nou, het was een heel specifiek...
[3074.44 --> 3074.86]  complex...
[3075.86 --> 3077.00]  probleem.
[3077.10 --> 3077.72]  Echt dus binnen...
[3077.72 --> 3077.86]  want je kunt...
[3077.86 --> 3079.78]  ik roep nu al tijden...
[3079.78 --> 3080.86]  ik ben niet echt een programmeur.
[3080.92 --> 3081.68]  Ik ben een scriptkier...
[3081.68 --> 3082.40]  die dat houdt gewoon in.
[3082.50 --> 3083.56]  Ik hang dingen aan elkaar...
[3083.56 --> 3084.44]  en als het werkt, werkt het.
[3084.66 --> 3085.10]  All good.
[3085.60 --> 3086.96]  Je hebt mensen die daadwerkelijk...
[3086.96 --> 3088.68]  computerwetenschappen hebben gestudeerd...
[3088.68 --> 3089.80]  en op een heel ander niveau...
[3089.80 --> 3090.98]  bezig zijn met programmeren.
[3091.06 --> 3092.26]  Daar zijn allemaal...
[3092.26 --> 3092.82]  levels in.
[3093.32 --> 3095.04]  Ik zet mezelf niet zo hoog daar.
[3096.36 --> 3099.64]  De meeste sceptici van deze taalmodellen...
[3099.64 --> 3101.52]  dat zijn legit programmeurs...
[3101.52 --> 3103.28]  die terecht zeggen...
[3103.28 --> 3105.16]  jongens, dit is gewoon een predictiemodel.
[3105.56 --> 3107.56]  Dit is echt wel een soort van...
[3107.56 --> 3108.78]  papagaatje...
[3108.78 --> 3110.62]  die woordjes probeert te gokken...
[3110.62 --> 3111.62]  en als ik gewoon even...
[3111.62 --> 3113.42]  een van mijn favoriete problemen erin gooi...
[3113.42 --> 3115.08]  waar ik zelf al jaren mee struggle...
[3115.08 --> 3116.40]  dan pleurt het meteen uit elkaar.
[3116.60 --> 3117.04]  Ga, ga.
[3117.20 --> 3118.32]  Het is echt zo'n gacha...
[3118.32 --> 3119.28]  doen die mensen het liefst.
[3119.80 --> 3121.06]  Ik denk ook...
[3121.06 --> 3121.86]  omdat ze...
[3121.86 --> 3123.10]  en zelf...
[3123.10 --> 3124.26]  heel technisch onderlegd zijn...
[3124.26 --> 3125.30]  dus denken...
[3125.30 --> 3127.72]  zo vlot zal het niet gaan...
[3127.72 --> 3128.66]  en...
[3128.66 --> 3129.68]  mijn mening...
[3129.68 --> 3130.84]  zelf ook zoiets hebben...
[3130.84 --> 3131.58]  wacht eens even...
[3131.58 --> 3132.60]  je gaat mij nog niet vertellen...
[3132.60 --> 3134.04]  dat dit ding zo slim is als dat ik ben.
[3134.04 --> 3136.38]  Ik zit hier al twintig, dertig jaar voor te leren.
[3136.38 --> 3136.90]  Ja, je bedoelt...
[3136.90 --> 3138.26]  ze willen het niet geloven...
[3138.26 --> 3139.10]  en daarom...
[3139.10 --> 3141.46]  en ze gaan het dan met die gekleurde bril...
[3141.46 --> 3142.48]  gaan ze dan testen...
[3142.48 --> 3143.98]  en dan valt het allemaal mee.
[3144.60 --> 3147.22]  Ja, en wat er dan nu gebeurt...
[3147.22 --> 3149.56]  want ze hebben grotendeels gelijk.
[3150.04 --> 3151.10]  Als je echt domeinkennis hebt...
[3151.10 --> 3153.26]  en je gaat echt de diepte in...
[3153.26 --> 3154.46]  of je wil over jouw...
[3154.46 --> 3156.24]  totale softwareproject praten...
[3156.24 --> 3157.02]  dat kan een project zijn...
[3157.02 --> 3158.22]  waar dertig mensen aan werken...
[3158.22 --> 3159.28]  dat past niet in die prompt.
[3160.00 --> 3161.92]  Leuk als jij een stukje code hebt...
[3161.92 --> 3164.02]  maar dat stukje code hangt in een hele context...
[3164.02 --> 3165.30]  en als die context niet meekomt...
[3165.30 --> 3167.90]  dan snapt die chatbot dat gewoon niet.
[3168.16 --> 3168.86]  Dat is ook zo.
[3169.38 --> 3171.46]  Maar als je dan dus soms een probleem hebt...
[3171.46 --> 3172.70]  wat wel past...
[3172.70 --> 3174.76]  maar ook heel domeinspecifiek is...
[3174.76 --> 3177.10]  en waar je eigenlijk normaal een expert voor zou inschakelen...
[3177.74 --> 3180.10]  en daar komen in één keer antwoorden op...
[3180.10 --> 3181.22]  en dan kan je ook nog zeggen...
[3181.22 --> 3184.16]  ik heb je getest wat je hebt gezegd als oplossing.
[3184.58 --> 3185.54]  Dat werkt inderdaad.
[3185.62 --> 3187.50]  Maar ik wil eigenlijk ook weten waarom het werkt.
[3187.78 --> 3189.46]  En die uitleg is ook nog eens goed.
[3190.02 --> 3190.80]  Dan wordt het spannend.
[3191.08 --> 3194.64]  Want dan gaat het kwartje vallen van...
[3194.64 --> 3195.84]  maar wacht even...
[3195.84 --> 3198.02]  als het niet alleen maar de standaard scriptjes zijn...
[3198.02 --> 3200.02]  de standaard dingetjes die iedereen zoekt...
[3200.02 --> 3203.00]  maar juist over een heel specifieke technologie...
[3203.00 --> 3206.84]  waar misschien 1200 experts van op aarde zijn op dit moment...
[3206.84 --> 3209.32]  en waar ik normaal misschien een heel duur boek voor had...
[3209.32 --> 3210.52]  of een consultant.
[3211.00 --> 3213.10]  En dit ding geeft gewoon dat antwoord.
[3213.20 --> 3215.64]  En dit was wat er gebeurde met deze jongen.
[3215.72 --> 3217.72]  Die had één vraag die hij stelde...
[3217.72 --> 3218.82]  en er was echt een soort van...
[3218.82 --> 3219.70]  er ging een knop om.
[3220.14 --> 3220.30]  Ja.
[3220.56 --> 3224.44]  Het is eigenlijk alsof je 100 vragen hebt gesteld...
[3224.44 --> 3226.92]  en 98 keer kwam er bullshit uit...
[3226.92 --> 3227.48]  waardoor je dacht...
[3227.48 --> 3228.72]  whatever, all good.
[3228.92 --> 3230.08]  Dit gaat nog wel jaren duren.
[3230.58 --> 3232.22]  En ineens krijg je op één van die vragen...
[3232.22 --> 3233.64]  omdat je het toch nog een keer probeert...
[3233.64 --> 3237.14]  en op een bepaalde manier leert praten met zo'n taalmodel...
[3237.14 --> 3238.86]  komt er ineens een antwoord uit en het werkt.
[3239.04 --> 3239.96]  En dan...
[3239.96 --> 3243.38]  dat is ook wel een beetje engineer, programmeur, eigen...
[3243.38 --> 3245.22]  die kunnen dan heel snel extrapoleren.
[3245.88 --> 3246.10]  Ja.
[3246.76 --> 3249.02]  Oké, maar dan is de reden dat het de rest nog niet kan...
[3249.02 --> 3250.24]  een optimalisatiestap.
[3250.30 --> 3250.56]  Precies.
[3250.56 --> 3253.62]  En dan ben je daar...
[3253.62 --> 3254.60]  en dan ga je denken...
[3254.60 --> 3256.66]  ja, maar goed, dan kan voetballen waarschijnlijk ook wel...
[3256.66 --> 3258.30]  afwassen ook wel waarschijnlijk...
[3258.30 --> 3261.02]  en dan valt dat hele kaartenhuis in elkaar.
[3261.22 --> 3264.12]  Oké, maar dan probeer je dus een goede vriend...
[3264.12 --> 3265.44]  voor die jongen te zijn.
[3265.44 --> 3269.24]  Wat heb je hem proberen te vertellen...
[3269.24 --> 3271.06]  of wat heb je hem proberen te laten bevragen?
[3272.72 --> 3275.24]  Nou, dat ik...
[3275.24 --> 3276.72]  dan ga je in eerste instantie...
[3276.72 --> 3279.52]  oké, welke zaken...
[3279.52 --> 3280.86]  zijn er op de korte termijn...
[3280.86 --> 3282.90]  die echt heel erg geraakt gaan worden...
[3282.90 --> 3284.26]  door deze technologie.
[3284.86 --> 3287.20]  Dat is een beetje waar wij het met zelfrijdende autolevels...
[3287.20 --> 3287.94]  wel eens over hebben gehad...
[3287.94 --> 3289.40]  een aflevering of x geleden.
[3290.86 --> 3291.98]  Want dan wil je gaan zien...
[3291.98 --> 3292.86]  waar zit jij nu?
[3293.46 --> 3295.02]  Je voelt je blijkbaar op een bepaalde manier...
[3295.02 --> 3295.68]  voel je je aan...
[3295.68 --> 3297.14]  oké, maar in mijn domein in ieder geval...
[3297.14 --> 3299.66]  ben ik niet per se veilig meer of zo.
[3299.78 --> 3301.58]  Het heeft ook met baangarantie te maken...
[3301.58 --> 3303.02]  en essentieel van...
[3303.02 --> 3303.68]  niet alleen...
[3303.68 --> 3305.64]  ik wil nog brood kunnen kopen...
[3305.64 --> 3306.42]  bij de supermarkt...
[3306.42 --> 3307.52]  maar ook...
[3307.52 --> 3309.12]  ja, het is ook wel mijn leven.
[3309.12 --> 3310.78]  Het is mijn passie om dit te kunnen doen.
[3311.34 --> 3313.46]  Dit is een beetje de...
[3313.46 --> 3314.88]  illustrator...
[3314.88 --> 3316.50]  en de copywriter...
[3316.50 --> 3318.18]  een jaar geleden al...
[3318.18 --> 3318.86]  qua...
[3318.86 --> 3319.80]  als je dat je werk is...
[3319.80 --> 3320.26]  dat je denkt...
[3320.26 --> 3321.04]  jeetje...
[3321.04 --> 3322.84]  ik moet me gaan omscholen...
[3322.84 --> 3324.12]  of in ieder geval een manier vinden...
[3324.12 --> 3324.92]  om aan mijn brood te komen...
[3324.92 --> 3326.46]  maar ook om de dag te vullen...
[3326.46 --> 3327.76]  of ik ga het gewoon doen voor de leuk.
[3327.90 --> 3328.46]  Dat is dus een...
[3328.46 --> 3330.16]  Nogal fundamentele vragen, ja.
[3330.46 --> 3331.02]  De hele...
[3331.02 --> 3332.94]  ja, dus het raakt echt wel...
[3332.94 --> 3334.10]  daarom denk ik dat dit onderwerp...
[3334.10 --> 3334.92]  ook zo belangrijk is...
[3334.92 --> 3336.42]  want het is niet zomaar een onderwerpje...
[3336.42 --> 3337.10]  waar wij het over hebben.
[3337.10 --> 3339.82]  En dan komt het...
[3339.82 --> 3340.60]  oké...
[3340.60 --> 3341.44]  je hebt...
[3341.44 --> 3341.70]  stel...
[3341.70 --> 3343.28]  de conclusie is...
[3343.28 --> 3346.06]  mijn domein is een van de eersten op de lijst...
[3346.06 --> 3347.16]  die gaat...
[3347.16 --> 3347.52]  ja...
[3347.52 --> 3349.16]  de copywriters waren eerst...
[3349.16 --> 3350.16]  toen de illustrators...
[3350.16 --> 3351.86]  en nu sta ik op de lijst.
[3352.40 --> 3353.44]  Dus mijn...
[3353.44 --> 3355.22]  en dat gaat jaren duren...
[3355.22 --> 3357.10]  niet decennia, zeg maar.
[3357.84 --> 3359.52]  Het kan over drie jaar heel anders zijn.
[3361.92 --> 3362.76]  Hoe ga ik...
[3362.76 --> 3363.18]  punt één...
[3363.18 --> 3365.68]  hoe ga ik zorgen dat ik nog een dagelijkse bezigheid heb...
[3365.68 --> 3367.48]  om te zorgen dat er brood op de plan komt?
[3367.92 --> 3369.78]  En punt twee...
[3369.78 --> 3371.34]  wat ga ik doen...
[3371.34 --> 3372.96]  ga ik het nog blijven doen wat ik doe...
[3372.96 --> 3373.68]  puur voor de lol?
[3374.08 --> 3376.90]  Gewoon schilderijen maken die nooit iemand ziet...
[3376.90 --> 3377.96]  die ik daarna in brand steek...
[3377.96 --> 3378.98]  wat ik deed voor het proces.
[3379.10 --> 3379.64]  Dat kan hè.
[3379.72 --> 3380.24]  Als je zo...
[3380.24 --> 3380.90]  dat is prima...
[3380.90 --> 3383.44]  maar dan moet je wel zorgen dat je daarnaast nog...
[3383.44 --> 3384.64]  dat filmt en verkoopt...
[3384.64 --> 3385.40]  of iets anders doet.
[3386.68 --> 3387.08]  Dan...
[3387.08 --> 3389.04]  dan ga je met die vraag bezig...
[3389.04 --> 3389.90]  en dan wordt het...
[3389.90 --> 3391.24]  oké...
[3391.24 --> 3393.60]  stel ik ga wat anders doen...
[3393.60 --> 3394.90]  want zo'n gesprek wordt het dan al...
[3394.90 --> 3395.40]  van ja oké...
[3395.40 --> 3397.12]  stel het loopt inderdaad allemaal...
[3397.12 --> 3398.56]  wel zo los...
[3398.56 --> 3399.68]  het loopt niet los...
[3399.68 --> 3400.94]  het gaat los, zeg maar.
[3401.82 --> 3402.88]  Wat ga je dan doen?
[3403.28 --> 3405.12]  En dan bespreken van...
[3405.12 --> 3405.68]  oké...
[3405.68 --> 3408.10]  het is allemaal koffiedik kijken...
[3408.10 --> 3410.88]  want we hebben geen idee...
[3410.90 --> 3413.14]  als ik me dan omschool...
[3413.14 --> 3414.74]  wat ga ik dan doen?
[3415.06 --> 3416.10]  Want ik wil niet iets doen...
[3416.10 --> 3417.82]  wat de volgende op de lijst is.
[3417.94 --> 3419.58]  Want dan ben ik over 18 maanden...
[3419.58 --> 3420.60]  weer in dezezelfde crisis.
[3421.14 --> 3421.38]  Ja...
[3421.38 --> 3422.50]  als een zenboeddhist...
[3422.50 --> 3423.98]  zou je uit kunnen zoomen en zeggen...
[3423.98 --> 3425.22]  moet jij niet eens leren omgaan...
[3425.22 --> 3426.42]  met het hele idee van een crisis?
[3426.78 --> 3427.88]  En dat een soort van...
[3427.88 --> 3429.50]  standaard state of mind gaan maken.
[3429.72 --> 3431.34]  Ik ga niet meer proberen...
[3431.34 --> 3432.26]  die zeeglat te strijken.
[3432.34 --> 3433.70]  Ik ga gewoon leren zeilen in de storm.
[3434.24 --> 3434.88]  Oké...
[3434.88 --> 3436.10]  maar dat is dan wel heel...
[3436.10 --> 3437.24]  dat is...
[3437.24 --> 3439.26]  vaak is dat een beetje niet...
[3439.26 --> 3440.82]  vaak willen mensen wat concreet.
[3440.94 --> 3441.18]  Dus van...
[3441.18 --> 3441.50]  geef me nou gewoon...
[3441.50 --> 3443.50]  een nieuw werkveld...
[3443.50 --> 3444.44]  en wat opties.
[3444.94 --> 3445.66]  En dan ga ik kijken...
[3445.66 --> 3447.32]  welke daarvan mij het meest motiveert...
[3447.32 --> 3448.22]  of enthousiast smeert.
[3448.52 --> 3449.76]  En dan ga ik me inderdaad...
[3449.76 --> 3451.26]  langzaam al een beetje nadenken...
[3451.26 --> 3451.50]  over een andere...
[3451.50 --> 3452.50]  carrière...
[3453.68 --> 3454.50]  of een andere levens...
[3454.50 --> 3455.50]  dag...
[3455.50 --> 3456.32]  dagbesteding.
[3456.88 --> 3457.50]  En jij zei...
[3458.50 --> 3460.50]  voor het vak van programmeren...
[3460.50 --> 3462.82]  is het nog voor een...
[3462.82 --> 3464.70]  een chatbot lastig...
[3464.70 --> 3465.02]  om...
[3465.02 --> 3467.04]  een project wat met meerdere mensen...
[3467.04 --> 3467.72]  gemaakt wordt...
[3467.72 --> 3468.54]  om dat te overzien.
[3469.02 --> 3470.04]  Maar hoe kan dat eigenlijk?
[3470.16 --> 3470.50]  Want...
[3470.50 --> 3471.96]  als mensen...
[3471.96 --> 3474.64]  hun code pushen via...
[3474.64 --> 3476.54]  opslaan in GitHub...
[3476.54 --> 3478.74]  dan is het toch een totaal overzicht...
[3478.74 --> 3480.32]  van wat iedereen bijdraagt...
[3480.32 --> 3482.96]  en wat de hele codebase is.
[3483.06 --> 3484.24]  En dan kun je toch...
[3484.24 --> 3485.18]  weet je...
[3485.18 --> 3487.96]  dan kent hij toch de hele codebase...
[3487.96 --> 3489.44]  en niet alleen maar wat je plakt...
[3489.44 --> 3490.10]  in chatgpt.
[3490.10 --> 3491.78]  Ja, maar wat je nu beschrijft...
[3491.78 --> 3493.92]  is echt het limiet van de context window...
[3493.92 --> 3495.36]  zoals in de taalmodellen.
[3495.52 --> 3495.82]  Ja, ja.
[3495.96 --> 3497.96]  Die is nog steeds te klein...
[3497.96 --> 3498.66]  Heels te klein.
[3498.80 --> 3499.52]  Ja, oké.
[3499.70 --> 3501.16]  Ja, want je moet je echt voorstellen...
[3501.16 --> 3502.08]  dat je dus letterlijk...
[3502.08 --> 3504.02]  de hele codebase moet meeplakken...
[3504.02 --> 3504.46]  in je punt.
[3504.70 --> 3504.88]  Ja, ja.
[3505.40 --> 3505.96]  Want...
[3506.56 --> 3507.34]  Ik weet helemaal niet...
[3507.34 --> 3508.96]  wat de huidige staat...
[3508.96 --> 3511.14]  van de techniek is.
[3511.26 --> 3511.96]  Wat het grootste...
[3513.04 --> 3514.50]  context window is...
[3514.50 --> 3515.80]  wat je op dit moment kan meegeven.
[3516.68 --> 3516.96]  Ook omdat...
[3517.60 --> 3518.96]  chatgpt nu neemt...
[3518.96 --> 3519.48]  128.000...
[3519.48 --> 3519.98]  bij Turbo.
[3520.10 --> 3520.42]  Volgens mij.
[3520.54 --> 3520.94]  Oké.
[3521.44 --> 3521.96]  Maar ook omdat...
[3521.96 --> 3522.88]  chatgpt nu meent...
[3522.88 --> 3523.64]  dat je...
[3523.64 --> 3526.06]  in één chat...
[3526.06 --> 3527.88]  eindeloze...
[3527.88 --> 3528.92]  hoeveelheid geheugen...
[3528.92 --> 3529.54]  kan meenemen.
[3530.78 --> 3530.80]  Nou...
[3530.80 --> 3531.56]  Of dat...
[3531.56 --> 3532.16]  dat kan niet...
[3532.16 --> 3533.40]  zeg ik nu zo heel zelfverzekerd...
[3533.40 --> 3534.18]  maar dan...
[3534.18 --> 3535.10]  er is een grote kans...
[3535.10 --> 3536.36]  dat er andere technieken bestaan...
[3536.36 --> 3537.08]  die ik niet ken.
[3537.50 --> 3538.22]  Maar...
[3538.22 --> 3538.84]  bijvoorbeeld...
[3538.84 --> 3540.88]  het bouwen van je eigen gpt...
[3540.88 --> 3541.42]  hè...
[3541.42 --> 3542.64]  in die gpt store...
[3542.64 --> 3543.68]  waar we het al zo over hebben gehad.
[3543.68 --> 3545.54]  ik dacht...
[3545.54 --> 3546.34]  want...
[3546.34 --> 3549.02]  zoveel inhoudelijke kennis...
[3549.02 --> 3549.60]  heb ik niet...
[3549.60 --> 3551.22]  van de wetenschap achter taalmodellen.
[3551.38 --> 3552.72]  Ik lees ook maar gewoon een beetje mee...
[3552.72 --> 3554.50]  en ben heel wat verbaasd over wat ik allemaal leer.
[3556.28 --> 3557.66]  Zo'n gpt...
[3557.66 --> 3559.02]  kan je documenten bij uploaden.
[3559.46 --> 3560.76]  We hebben het vorige keer gezegd...
[3560.76 --> 3563.66]  jij uploadt al jouw dagboeken en e-mail...
[3563.66 --> 3565.10]  en dan maak je een virtuele Alexander...
[3565.10 --> 3566.78]  en ik kan dan betalen om met jou te praten...
[3566.78 --> 3569.20]  om advies te krijgen over het starten van een medebedrijf.
[3569.60 --> 3569.70]  Ja.
[3570.30 --> 3570.86]  En...
[3570.86 --> 3572.36]  uiteindelijk...
[3572.36 --> 3573.76]  zitten daar dan...
[3573.76 --> 3574.82]  dan dacht ik...
[3574.82 --> 3575.76]  oh dan is dat...
[3575.76 --> 3576.64]  er kan je een aantal dingen doen.
[3576.70 --> 3578.14]  Je kan het model gaan trainen.
[3578.76 --> 3579.16]  Fine-tunen.
[3579.26 --> 3580.12]  Zoals met Geitje.
[3580.76 --> 3582.66]  Zoals toen uitgelegd is door de jongen...
[3582.66 --> 3584.28]  die bij ons in de aflevering was.
[3584.84 --> 3585.30]  Die zegt...
[3585.30 --> 3588.10]  ik pak dat corpus van Nederlands cultuur...
[3588.10 --> 3590.66]  en ik ga een Frans taalmodel...
[3590.66 --> 3592.80]  of vanuit Frans makelerij...
[3592.80 --> 3595.00]  ga ik fine-tunen op Nederlands cultuur.
[3595.40 --> 3596.12]  Dat is een stap.
[3596.22 --> 3599.02]  Dat is niet wat gpt's zijn.
[3599.26 --> 3600.66]  Dat zou veel te duur zijn...
[3600.66 --> 3603.64]  een gpt gaan fine-tunen op Alexander's data.
[3604.80 --> 3608.44]  Gaan ze dan al Alexander's documenten meeplakken in iedere prompt?
[3608.90 --> 3609.38]  Ook niet.
[3609.92 --> 3610.56]  Wat doen ze?
[3611.16 --> 3613.66]  Die documenten zijn beschikbaar voor het taalmodel...
[3614.44 --> 3617.66]  om op het moment, precies op tijd, just in time...
[3617.66 --> 3619.66]  erbij te halen en te doorzoeken...
[3619.66 --> 3621.80]  om dan te zeggen...
[3621.80 --> 3621.92]  oké...
[3622.48 --> 3623.80]  Wietse stelt een vraag over...
[3624.80 --> 3625.76]  blendel.
[3626.62 --> 3628.74]  Dan wordt er gewoon een naïeve search gedaan...
[3628.74 --> 3629.80]  op het woord blendel...
[3629.80 --> 3630.80]  en omgevende woorden...
[3631.46 --> 3632.58]  in al die documenten.
[3632.94 --> 3634.72]  Daar wordt een context van gecreëerd.
[3634.88 --> 3636.26]  Die gaat mee in de prompt.
[3636.76 --> 3637.06]  En dan...
[3637.06 --> 3638.42]  hier kom je heel ver mee, hè?
[3638.90 --> 3639.90]  Want dan kan hij toch zeggen...
[3639.90 --> 3641.90]  nou, Alexander heeft hier een aantal opmerkingen gemaakt.
[3642.00 --> 3643.08]  Vlug een samenvatting maken.
[3643.60 --> 3645.42]  Maar wezenlijk is het eigenlijk een beetje fake.
[3645.42 --> 3647.48]  Want met mijn naïviteit denk ik...
[3647.48 --> 3650.48]  oh, ik dacht dat het een Alexander GPT was...
[3650.48 --> 3652.66]  die gefinetuned is op Alexander.
[3652.76 --> 3653.52]  Dat is niet zo.
[3653.64 --> 3653.90]  Nee.
[3654.70 --> 3656.76]  Hij leest gewoon maar een klein beetje...
[3656.76 --> 3657.68]  in de geschiedenis...
[3657.68 --> 3659.56]  en dan moet je er toevallig mee raak geschoten hebben...
